x_pos,y_pos
654.58,-1406.71
158.3,-971.24
394.93,-1044.14
265.68,-800.12
1012.93,-671.75
312.96,-1188.67
951.16,-1349.53
121.05,-259.34
532.82,133.87
617.1,65.96
389.38,-1236.03
628.58,-863.38
-14.12,-701.44
492.12,-462.73
730.39,-1343.84
1335.25,-277.56
279.76,-299.08
902.74,-773.36
887.41,-355.46
598.84,-1363.44
107.76,-1469.63
541.1,-457.45
254.15,-1398.46
1083.66,-345.66
267.59,-186.59
-74.56,-1149.7
111.53,30.27
724.85,-799.78
1156.23,-457.81
1052.48,-486.26
1441.95,-540.04
254.57,-1149.16
440.56,-681.4
-100.61,-644.92
626.9,-29.85
