x_pos,y_pos
1320.41,-956.46
567.76,-1298.32
918.74,-137.63
573.38,-1128.98
930.42,-1269.73
804.35,-309.09
1102.38,-497.3
1134.67,-1315.36
762.42,-1083.82
503.32,-721.22
873.05,-473.11
1107.61,-1476.9
981.73,-315.14
771.14,-117.92
617.82,-1263.59
741.78,-1020.18
651.11,-1317.81
408.67,-470.79
921.4,-791.52
652.45,-436.63
1311.33,-269.86
344.59,-255.23
1235.5,-1431.17
825.68,-317.51
603.84,-673.01
380.85,-413.21
441.54,-970.44
822.46,-911.38
1495.26,-489.46
1097.9,-1318.74
651.94,-1476.46
871.21,-569.29
1353.89,-489.72
845.28,-1413.39
